Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,,,
1,Page,,,,,,,,,Home Lab - Flows,,,
66,Connector,Flowchart Shapes,1,,,,,,,Ubuntu-NUC (66),,,
55,Connector,Flowchart Shapes,1,,,,,,,vCenter (55),,,
69,Connector,Flowchart Shapes,1,,,,,,,VEMBU (69),,,
71,Connector,Flowchart Shapes,1,,,,,,,Ubuntu-ZM (71),,,
,,,,,,,,,,,,,
65,Connector,Flowchart Shapes,1,,,,,,,rPiOS (65),,,
52,Connector,Flowchart Shapes,1,,,,,,,Photon-ARM (52),,,
168,Connector,Flowchart Shapes,1,,,,,,,rPi4 (168),,,
51,Connector,Flowchart Shapes,1,,,,,,,MediaLinux (51),,,
240,Connector,Flowchart Shapes,1,,,,,,,NUC (240),,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
100,Line,,1,,,240,55,None,Arrow,51554,,,
101,Line,,1,,,65,66,None,Arrow,59672,,,
102,Line,,1,,,168,55,None,Arrow,56192,,,
103,Line,,1,,,66,51,None,Arrow,9091,,,
104,Line,,1,,,240,55,None,Arrow,49112,,,
105,Line,,1,,,55,240,None,Arrow,443,,,
106,Line,,1,,,66,52,None,Arrow,34376,,,
107,Line,,1,,,240,55,None,Arrow,57512,,,
108,Line,,1,,,168,55,None,Arrow,49006,,,
109,Line,,1,,,240,55,None,Arrow,52066,,,
110,Line,,1,,,51,66,None,Arrow,50054,,,
111,Line,,1,,,240,55,None,Arrow,43118,,,
112,Line,,1,,,240,55,None,Arrow,50256,,,
113,Line,,1,,,240,55,None,Arrow,54660,,,
114,Line,,1,,,240,55,None,Arrow,43444,,,
115,Line,,1,,,240,55,None,Arrow,33002,,,
116,Line,,1,,,240,55,None,Arrow,47642,,,
117,Line,,1,,,55,168,None,Arrow,9080,,,
118,Line,,1,,,51,66,None,Arrow,8086,,,
119,Line,,1,,,240,55,None,Arrow,50702,,,
